Classifier;FeatureSelector;NumFeature;TrainingAccuracy;ValidationAccuracy;TestAccuracy
gaussian_naive_bayes;lda;1;0.4825;0.4747;0.4784
gaussian_naive_bayes;lda;2;0.5936;0.5863;0.5912
gaussian_naive_bayes;lda;3;0.6638;0.6593;0.6586
gaussian_naive_bayes;lda;4;0.7021;0.6941;0.6982
gaussian_naive_bayes;lda;5;0.7343;0.7319;0.7264
gaussian_naive_bayes;lda;6;0.768;0.7582;0.7595
gaussian_naive_bayes;lda;7;0.7749;0.7682;0.7662
gaussian_naive_bayes;lda;8;0.8092;0.8045;0.7954
gaussian_naive_bayes;lda;9;0.8279;0.8138;0.8099
