NumFeature;TrainingAccuracy;ValidationAccuracy
10;0.8037;0.8069
20;0.8589;0.8584
30;0.8677;0.8671
40;0.8763;0.8755
50;0.8869;0.8889
60;0.8934;0.8917
70;0.8973;0.8968
80;0.9001;0.901
90;0.9029;0.904
100;0.9044;0.906
110;0.9062;0.9044
120;0.9068;0.9057
130;0.908;0.9078
140;0.9094;0.9087
150;0.9103;0.9088
160;0.9113;0.9102
170;0.912;0.9119
180;0.9131;0.9117
190;0.9134;0.913
200;0.9145;0.9131
210;0.9153;0.9143
220;0.9153;0.9163
230;0.9157;0.9155
240;0.9163;0.9154
250;0.9173;0.9146
260;0.9175;0.9142
270;0.9178;0.9139
280;0.9179;0.9149
290;0.9186;0.9176
300;0.9183;0.9194
310;0.9189;0.9179
320;0.9195;0.9178
330;0.9192;0.919
340;0.9199;0.9194
350;0.9206;0.9161
360;0.9205;0.9209
370;0.9213;0.9173
380;0.9212;0.9182
390;0.9215;0.9194
400;0.922;0.9179
410;0.9219;0.9188
420;0.9222;0.9196
430;0.9224;0.9216
440;0.9227;0.9198
450;0.9232;0.9183
460;0.9233;0.9204
470;0.9235;0.9201
480;0.9238;0.9215
490;0.924;0.9197
500;0.9237;0.9207
510;0.9242;0.9215
520;0.9244;0.9211
530;0.9244;0.9216
540;0.9246;0.9211
550;0.9253;0.921
560;0.9254;0.9212
570;0.9252;0.9229
580;0.9256;0.9226
590;0.9256;0.9235
600;0.9259;0.923
610;0.9263;0.921
620;0.9264;0.9232
630;0.9259;0.924
640;0.9265;0.9231
650;0.9266;0.9238
660;0.9272;0.9221
670;0.9271;0.9243
680;0.9271;0.9249
690;0.9278;0.9222
700;0.9275;0.9251
710;0.9283;0.9222
720;0.9282;0.9235
730;0.9283;0.9252
740;0.9286;0.925
750;0.9286;0.9255
760;0.9288;0.9244
770;0.929;0.9239
780;0.9286;0.9252
790;0.9292;0.9252
800;0.9292;0.9245
810;0.9293;0.9252
820;0.9299;0.9229
830;0.9297;0.9255
840;0.9296;0.9268
850;0.9298;0.9258
860;0.9301;0.926
870;0.9302;0.9265
880;0.9304;0.9276
890;0.9308;0.9264
900;0.9309;0.925
910;0.931;0.9249
920;0.9312;0.9258
930;0.9313;0.9269
940;0.9314;0.9259
950;0.9312;0.9276
960;0.9318;0.9256
970;0.932;0.9278
980;0.9317;0.9273
990;0.9316;0.9276
1000;0.9321;0.9262
1010;0.9319;0.9262
1020;0.9319;0.9267
970;test;0.9016
